name,address,phone_number,has_website,website,business_type,search_term,google_maps_url,rating,location,coord,scraped_date,opening_hours,price_level,reviews_count,wine_region,email,Subject
Amici Wine Bar  Deli,"59 Northbourne Ave, Canberra, ACT, 2601",(02) 6103 0418,TRUE,https://amici.bar/,restaurant,vineyard tasting room Canberra,https://maps.google.com/?cid=563847209017802485,4.0,Canberra,"{'latitude': -35.2787798, 'longitude': 149.1288263}",9/4/2025,Monday: Closed; Tuesday: 11:00 AM – 10:30 PM; Wednesday: 11:00 AM – 10:30 PM; Thursday: 11:00 AM – 10:30 PM; Friday: 11:00 AM – 10:30 PM; Saturday: 11:00 AM – 10:30 PM; Sunday: 11:00 AM – 9:30 PM,0,339,Canberra,,SIP Canberra invitation
Banjos Kitchen,"254 Sheridan St, Gundagai, NSW, 2722",(02) 6944 1355,FALSE,,restaurant,wine estate Gundagai,https://maps.google.com/?cid=18110079634596836664,3.8,Gundagai,"{'latitude': -35.0632132, 'longitude': 148.1011963}",9/4/2025,,0,72,Gundagai,,SIP Canberra invitation
Bar Rochford,"65 London Cct, Canberra, ACT, 2601",(02) 6230 6222,TRUE,http://www.barrochford.com/,restaurant,wine tasting Canberra,https://maps.google.com/?cid=12845722117048888738,4.6,Canberra,"{'latitude': -35.2793431, 'longitude': 149.1281622}",9/4/2025,Monday: Closed; Tuesday: 5:00 – 11:00 PM; Wednesday: 5:00 – 11:00 PM; Thursday: 5:00 PM – 12:00 AM; Friday: 5:00 PM – 1:00 AM; Saturday: 5:00 PM – 1:00 AM; Sunday: Closed,2,531,Canberra,"hello@barrochford.com, functions@barrochford.com, Territoryhello@barrochford.com",SIP Canberra invitation
Beltana Farm,"14 Beltana Rd, Pialligo, ACT, 2609",(02) 6202 1130,TRUE,https://beltanafarm.au/,restaurant,vineyard tasting room Canberra,https://maps.google.com/?cid=370744441866781099,4.8,Canberra,"{'latitude': -35.3077643, 'longitude': 149.1815161}",9/4/2025,"Monday: Closed; Tuesday: Closed; Wednesday: Closed; Thursday: 12:00 – 2:00 PM, 6:00 – 8:30 PM; Friday: 12:00 – 2:30 PM, 6:00 – 9:00 PM; Saturday: 12:00 – 2:30 PM, 6:00 – 9:00 PM; Sunday: 12:00 – 2:30 PM",0,159,Canberra,"2609unearth@beltanafarm.au, unearth@beltanafarm.au",SIP Canberra invitation
Breakout Brasserie Cafe,"37 Macquarie St, Cowra, NSW, 2794",(02) 6342 4555,FALSE,,restaurant,winery cellar door cowra,https://maps.google.com/?cid=15566039670942789602,4.7,cowra,"{'latitude': -33.8337046, 'longitude': 148.6891006}",9/4/2025,Monday: 6:30 AM – 3:00 PM; Tuesday: 6:30 AM – 3:00 PM; Wednesday: 6:30 AM – 3:00 PM; Thursday: 6:30 AM – 3:00 PM; Friday: 6:30 AM – 3:00 PM; Saturday: 6:30 AM – 12:00 PM; Sunday: 7:30 – 11:30 AM,2,340,cowra,,SIP Canberra invitation
Chairman  Yip,"1 Burbury Cl, Barton, ACT, 2600",(02) 6162 1220,TRUE,https://chairmangroup.com.au/chairmanyip,restaurant,wine tasting Canberra,https://maps.google.com/?cid=4979649690468557501,4.5,Canberra,"{'latitude': -35.31165660000001, 'longitude': 149.1339437}",9/4/2025,"Monday: Closed; Tuesday: 6:00 – 10:30 PM; Wednesday: 12:00 – 2:30 PM, 6:00 – 10:30 PM; Thursday: 12:00 – 2:30 PM, 6:00 – 10:30 PM; Friday: 12:00 – 2:30 PM, 5:30 – 10:30 PM; Saturday: 5:30 – 10:30 PM; Sunday: Closed",3,381,Canberra,"chairmanandyip@gmail.com, chairmanandyip@gmail.com%20, chairmanandyip@gmail.comFree",SIP Canberra invitation
Comfort Inn Sovereign Gundagai,"28 West St, Gundagai, NSW, 2722",(02) 6944 1655,TRUE,https://www.choicehotels.com.au/en/comfort-inn-sovereign-gundagai-gundagai-hotel-au880,restaurant,winery cellar door Gundagai,https://maps.google.com/?cid=7470997304980820828,3.9,Gundagai,"{'latitude': -35.0619647, 'longitude': 148.1007144}",9/4/2025,Monday: 7:00 – 8:00 PM; Tuesday: 7:00 AM – 8:00 PM; Wednesday: 7:00 AM – 8:00 PM; Thursday: 7:00 AM – 8:00 PM; Friday: 7:00 AM – 8:00 PM; Saturday: 7:00 AM – 8:00 PM; Sunday: 7:00 AM – 8:00 PM,0,170,Gundagai,,SIP Canberra invitation
Contentious Character,"1 Dairy Rd, Fyshwick, ACT, 2609",(02) 6238 3830,TRUE,http://www.contentiouscharacter.com.au/,restaurant,winery cellar door Canberra,https://maps.google.com/?cid=6082434821552497085,4.3,Canberra,"{'latitude': -35.321918, 'longitude': 149.16511}",9/4/2025,Monday: 8:30 AM – 8:30 PM; Tuesday: 8:30 AM – 8:30 PM; Wednesday: Closed; Thursday: 8:30 AM – 10:00 PM; Friday: 8:30 AM – 10:00 PM; Saturday: 8:30 AM – 10:00 PM; Sunday: 8:30 AM – 5:00 PM,0,290,Canberra,info@contentiouscharacter.com.au,SIP Canberra invitation
Corella,"14 Lonsdale St, Braddon, ACT, 2612",(02) 6189 0757,TRUE,http://www.corellabar.com.au/,restaurant,vineyard tasting room Canberra,https://maps.google.com/?cid=11218115681816230374,4.6,Canberra,"{'latitude': -35.2741863, 'longitude': 149.1329247}",9/4/2025,"Monday: Closed; Tuesday: 5:00 – 11:00 PM; Wednesday: 5:00 – 11:00 PM; Thursday: 5:00 – 11:00 PM; Friday: 5:00 – 11:00 PM; Saturday: 12:00 – 3:30 PM, 5:00 – 11:00 PM; Sunday: Closed",0,403,Canberra,"hello@corellabar.com.au, CORELLABARhello@CORELLABAR.com.au, 0757hello@corellabar.com.au",SIP Canberra invitation
Courgette Restaurant,"54 Marcus Clarke St, Canberra, ACT, 2601",(02) 6247 4042,TRUE,https://www.courgette.com.au/,restaurant,winery cellar door Canberra,https://maps.google.com/?cid=4725057491360394306,4.6,Canberra,"{'latitude': -35.276247, 'longitude': 149.1268566}",9/4/2025,"Monday: 12:00 – 3:00 PM, 6:00 – 11:00 PM; Tuesday: 12:00 – 3:00 PM, 6:00 – 11:00 PM; Wednesday: 12:00 – 3:00 PM, 6:00 – 11:00 PM; Thursday: 12:00 – 3:00 PM, 6:00 – 11:00 PM; Friday: 12:00 – 3:00 PM, 6:00 – 11:00 PM; Saturday: 12:00 – 3:00 PM, 6:00 – 11:00 PM; Sunday: Closed",3,1014,Canberra,"Restaurantinfo@courgette.com.au, info@courgette.com.au",SIP Canberra invitation
